,Load,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
35,240.67478761579383,242.51517,247.78218,306.44604,455.16742,596.6163,643.10693,645.3866,640.298,613.68195,630.8325,630.6515,606.5718,548.955,489.59888,500.40533,574.004,570.9054,514.51056,428.4039,363.36368,285.74835,263.01184,245.20103,240.94896
3,186.1733361076789,188.08635,197.93309,206.3306,208.77905,210.07857,209.84102,208.95927,208.22458,207.23332,206.3592,206.54756,206.08604,203.66833,204.67766,204.69633,200.65395,197.29446,190.9181,187.20685,184.01819,183.53763,184.14706,184.09207,184.54744
4,187.1905398319978,190.07608,224.20201,301.8415,378.62964,395.901,404.5166,403.91983,387.60428,396.97372,392.70312,384.26907,352.4792,319.0021,320.3924,353.94772,350.47412,331.43573,282.9268,249.3975,207.21501,196.14058,188.66293,187.50598,187.65659
5,155.12560232603252,156.7196,164.92422,171.92123,173.93184,175.04419,174.84628,174.10199,173.4995,172.67354,171.94514,172.10204,171.71745,169.70299,170.54396,170.55957,167.19133,164.39207,159.07915,155.98674,153.32983,152.92944,153.4372,153.3914,153.78307
6,65.05116789818389,65.7196,69.16014,72.137596,72.94987,73.40393,73.409,73.012856,72.75612,72.40979,72.10437,72.22463,72.00889,71.164116,71.51681,71.523346,70.11086,68.94606,66.70906,65.41227,64.29811,64.130226,64.34314,64.32334,64.48817
7,239.9633439169665,240.36581,280.33646,373.3047,472.75574,492.33582,497.01572,503.72345,482.2585,490.98718,490.38528,476.80127,435.30176,396.68167,395.42545,431.89133,430.42648,401.78812,340.79715,307.2692,261.48834,249.08963,240.05324,238.8901,239.02336
9,95.75241671530526,96.73633,101.80069,106.18333,107.378944,108.047325,107.91018,107.46572,107.09381,106.58399,106.13441,106.231255,105.99391,104.750404,105.26954,105.27915,103.20008,101.47771,98.19277,96.283966,94.643974,94.39682,94.710236,94.681984,94.92371
10,99.69015177906483,102.41769,125.73332,186.09666,244.01746,261.25717,266.66104,267.0451,254.51152,261.1489,260.9187,251.65427,226.01169,204.29898,208.62305,239.39178,238.1614,216.2993,179.4001,150.17645,117.32022,108.54482,101.59093,99.430145,99.88914
11,360.68733609443296,364.26477,430.46866,581.4976,755.1079,799.107,809.80334,820.0159,786.60925,798.58344,794.4838,772.47253,699.3142,628.29004,625.1589,692.86694,690.25476,643.3936,536.7361,477.98557,401.29675,378.70584,359.52145,358.74713,360.53662
12,173.48560138205815,176.46353,204.3979,262.3499,329.04852,344.18634,351.865,351.87848,338.65347,343.85187,342.66748,332.5597,307.59546,277.56024,264.67737,300.57214,299.74774,278.16074,237.60992,217.21367,186.56776,178.32336,173.04614,172.32584,172.86327
13,287.703630018632,290.65997,305.8767,318.76764,322.932,324.57147,324.27853,322.91602,321.8769,320.24878,318.89792,319.189,318.47574,314.7395,316.29938,316.32816,310.0813,304.8896,295.036,289.30084,284.37314,283.6305,284.57217,284.48734,285.191
14,118.7770274184839,120.00728,126.24417,131.71614,133.1992,134.07663,133.87683,133.3069,132.84552,132.21318,131.6555,131.7756,131.48111,129.93866,130.58267,130.59453,128.01549,125.87904,121.80417,119.43639,117.402054,117.09545,117.48424,117.449196,117.739716
15,158.36938931855966,159.9967,168.37283,175.62155,177.76118,178.70451,178.50246,177.74255,177.12743,176.28423,175.54652,175.70087,175.30823,173.2516,174.1102,174.12611,170.68736,167.83873,162.40562,159.24858,156.5361,156.12727,156.64574,156.59894,156.98633
16,215.81673977313807,222.64748,242.44707,265.61105,274.67108,278.38608,278.3637,274.50244,274.7304,272.71225,273.57364,270.10443,274.40024,291.70013,305.4552,315.55286,310.96423,300.8133,278.10733,255.69016,230.37502,219.18245,215.62247,214.92401,215.1644
17,319.93308442949825,323.24698,340.14188,354.57275,358.78018,361.01355,360.9891,359.07022,357.82742,356.12405,354.6339,354.9456,354.1524,349.99765,351.73218,351.75342,344.81757,339.04434,328.08682,321.7091,316.2295,315.40366,316.4509,316.3565,317.13898
